WFST_ID,ra,dec,z,z_err,z_type,confidence,t0_mcmc,t0_err,tE_mcmc,tE_err,u0_mcmc,u0_err,A_max,g_s,g_base,r_s,r_base,i_s,i_base,chi2,dof,chi2/dof,source,type,external_match,logMBH_lamost,logMBH_method_lamost,logL_lamost,logL_wave_lamost,broad_fwhm_lamost,broad_ew_lamost,logMBH_SDSSDR16Q,logMBH_method_SDSSDR16Q,logL_SDSSDR16Q,logL_wave_SDSSDR16Q,broad_fwhm_SDSSDR16Q,broad_ew_SDSSDR16Q
WFST_017590084+05029997,17.59008400712823,5.029997186974395,0.9388628841119898,2.406183050609873e-05,spec,low,58632.32,+2.69/-2.70,200.31,+8.79/-6.23,0.830,+0.028/-0.051,1.50,19.41,19.33,19.34,19.12,,,1324.0,840,1.58,"DESI_DR1,JPLUSDR3,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,9.416664,MgII,45.308784,3000,8562.670605,13.416807
WFST_017796432+40082604,17.796431725906604,40.08260360012598,1.7886674404144287,0.0555346003913879,phot,low,59649.35,+2.28/-2.22,329.27,+17.11/-9.52,0.733,+0.030/-0.054,1.62,19.31,19.22,19.38,19.20,19.55,18.92,2680.3,1609,1.67,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",unknown,-,,,,,,,,,,,,
WFST_024160099+19242507,24.16009934539958,19.242506954545043,1.2112313640826609,0.0001451957572866,spec,low,58666.09,+2.63/-2.44,398.00,+75.51/-59.52,0.298,+0.072/-0.060,3.46,20.92,19.07,20.93,18.72,20.75,18.73,2205.4,1317,1.67,"DESI_DR1,JPLUSDR3,MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",Q,-,,,,,,,9.079216,MgII,45.737211,3000,4276.343697,32.170962
WFST_032575437+09690265,32.57543698280416,9.690265377297386,1.7045158018391582,0.0001310214727565,spec,low,59660.58,+6.10/-6.18,373.33,+11.49/-9.50,0.934,+0.023/-0.037,1.39,17.67,17.62,17.89,17.47,,,929.1,955,0.97,"DESI_DR1,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_033854147-04898335,33.85414694076475,-4.898335435724216,0.7140956340537736,1.1144725121992724e-05,spec,low,58916.40,+2.31/-2.29,752.92,+42.89/-35.86,0.274,+0.011/-0.012,3.76,21.15,21.12,21.04,20.97,,,1379.9,571,2.42,"DESI_DR1,MILLIQUAS,QZO,WISE_R90",QX,-,,,,,,,8.014309,MgII,44.296068,3000,3510.537583,60.459784
WFST_040229853-07803460,40.22985270940043,-7.803460496447468,1.2699128899714691,0.0002247780738613,spec,low,59069.04,+5.17/-5.09,849.29,+84.14/-72.90,0.357,+0.033/-0.037,2.93,20.89,20.74,20.97,20.20,20.75,20.38,936.5,755,1.24,"DESI_DR1,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_048616140+34042257,48.61614042632152,34.04225678201348,2.302138328552246,0.0344599999999997,phot,low,59221.35,+3.84/-3.81,730.62,+98.88/-57.60,0.487,+0.046/-0.068,2.23,20.52,20.35,20.41,20.09,20.49,20.00,1489.8,991,1.50,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_057936441+44993294,57.93644115774648,44.99329376732394,2.1706736,,phot,low,58804.34,+4.54/-4.52,290.17,+9.80/-8.49,0.788,+0.018/-0.024,1.55,20.14,20.10,19.82,19.31,19.72,18.86,1895.4,1463,1.30,"QZO,GAIA,CATWISE,PS1",unknown,-,,,,,,,,,,,,
WFST_078468100-14212157,78.46809982381967,-14.212156685772978,0.5092414021492004,0.0565779129076003,phot,low,58721.27,+2.81/-2.90,410.04,+46.63/-40.91,0.490,+0.086/-0.075,2.22,19.35,18.85,19.48,18.95,,,1638.8,682,2.40,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",unknown,-,,,,,,,,,,,,
WFST_085198892+68137335,85.19889242934342,68.13733476481464,0.8567551374435425,0.1195955347824097,phot,low,59518.11,+4.76/-4.74,300.93,+28.92/-16.58,0.953,+0.077/-0.118,1.38,19.68,19.42,19.32,19.03,19.01,18.74,1709.3,1786,0.96,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",unknown,-,,,,,,,,,,,,
WFST_090598021+48352513,90.59802138571428,48.35251328928572,,,unknown,low,58866.00,+5.18/-5.26,304.99,+40.37/-20.69,0.952,+0.091/-0.164,1.38,19.18,18.90,19.15,18.66,,,1078.5,665,1.62,"QZO,GAIA,CATWISE,PS1",unknown,-,,,,,,,,,,,,
WFST_100102901-23199393,100.10290143973738,-23.19939264180245,1.118,0.56274,phot,low,59922.94,+1.78/-1.86,160.31,+7.01/-6.12,0.572,+0.014/-0.027,1.96,17.87,17.82,17.83,17.57,,,754.5,552,1.37,"QUAIA_G20_5,QZO,GAIA,CATWISE,PS1",unknown,H,,,,,,,,,,,,
WFST_102510298+34919417,102.5102977,34.9194172,1.31,,spec,low,58793.58,+5.64/-5.63,638.99,+141.63/-71.83,0.436,+0.072/-0.097,2.45,21.10,20.80,20.89,20.05,,,1164.3,930,1.25,"MILLIQUAS,QUAIA_G20_5,QZO,GAIA,CATWISE,PS1,WISE_R90",R,-,,,,,,,,,,,,
